store_id,street,street_number,city,state,regiao,country,zipcode,latitude,longitude,tokens_abastecimentos,shell_select
1030666,Av Brasil,1133,Ribeirao Preto,SP,Sudeste,BR,14075040,-21.143395,-47.788553,6,2
1033375,R Marechal Mascarenhas Morais,380,Ribeirao Preto,SP,Sudeste,BR,14095120,-21.1940888,-47.76952257,13,0
1030534,Av Fernando Stecca,405,Sorocaba,SP,Sudeste,BR,18087149,-23.46710303,-47.42730757,8,0
1023188,Rua Capitao Alfredo Cardoso,310,Sorocaba,SP,Sudeste,BR,18031450,-23.50806486,-47.45290821,10,0
1018728,Av Carlos E De Gasperi Consoni,892,Ribeirao Preto,SP,Sudeste,BR,14021610,-21.21259438,-47.79618724,8,1
1037765,Av Da Saudade,567,Ribeirao Preto,SP,Sudeste,BR,14080000,-21.16656681,-47.80547235,6,0
1014970,General Euclydes  Figueiredo,1200,Ribeirao Preto,SP,Sudeste,BR,14070260,-21.11395787,-47.79299953,10,0
1024257,Av Independencia,6218,Sorocaba,SP,Sudeste,BR,18103000,-23.41786684,-47.40805616,8,0
256943,"Rua Prof.Felisberto Almada,127",127,Ribeirao Preto,SP,Sudeste,BR,14110000,-21.2679401,-47.81765209,12,0
1025120,Av A,2350,Sorocaba,SP,Sudeste,BR,18053000,-23.50283333,-47.52075,8,0
1031130,Av Costabili Romano,2342,Ribeirao Preto,SP,Sudeste,BR,14096275,-21.203938,-47.778321,12,2
1027662,Av Do Cafe,1920,Ribeirao Preto,SP,Sudeste,BR,14050230,-21.17452714,-47.83618592,6,0
636800,Av 13 De Maio,932,Ribeirao Preto,SP,Sudeste,BR,14090260,-21.18022915,-47.787357,6,0
1023206,Avenida Francisco Junqueira,2640,Ribeirao Preto,SP,Sudeste,BR,14020000,-21.18858145,-47.7981104,6,1
1024971,Av Portugal,408,Ribeirao Preto,SP,Sudeste,BR,14020380,-21.19067729,-47.80136636,12,0
1059090,AV COMENDADOR CAMILLO JULIO,1181,Sorocaba,SP,Sudeste,Br,18086000,-23.458362,-47.452571,20,0
151548,R Silveira Martins,774,Ribeirao Preto,SP,Sudeste,BR,14080110,-21.15931,-47.8079,NULL,NULL
1045597,Av Itatiaia,1463,Ribeirao Preto,SP,Sudeste,Br,14025070,-21.1947958,-47.808444,12,1
95745,Rua Angelica,36,Ribeirao Preto,SP,Sudeste,BR,14091000,-21.186738,-47.798207,4,2
1033291,Estr Antonia Mugn Marinceck,2600,Ribeirao Preto,SP,Sudeste,BR,14079300,-21.13174347,-47.75120485,12,2
1017895,Av Pres Kennedy,470,Ribeirao Preto,SP,Sudeste,BR,14096350,-21.21144,-47.772827,4,2
606600,Avenida Garabed Gananiam,11680,Sorocaba,SP,Sudeste,BR,00000000,-23.4263883,-47.35917703,10,0
1023821,Av.Presidente Vargas,1176,Ribeirao Preto,SP,Sudeste,BR,14025700,-21.19887028,-47.80833538,8,1
256951,Av Cavalheiro Paschoal Innechi,215,Ribeirao Preto,SP,Sudeste,BR,14076000,-21.16598782,-47.78947615,12,0
1036263,Av Sao Paulo,771,Sorocaba,SP,Sudeste,BR,18013002,-23.49853353,-47.44461621,12,1
1047115,Rua Javari 5125,Sn,Ribeirao Preto,SP,Sudeste,BR,14061310,-21.122365,-47.806605,10,0
1023893,Av Santos Dumont,140,Sorocaba,SP,Sudeste,BR,18065290,-23.48716506,-47.47477335,8,0
103829,Av Juvenal De Campos,300,Sorocaba,SP,Sudeste,BR,18030280,-23.51040736,-47.45337338,6,0
77011,Av Francisco Junqueira,3030,Ribeirao Preto,SP,Sudeste,BR,14020000,-21.19160647,-47.79810094,6,1
1025124,Av Dr.Armando Pannunzio,1850,Sorocaba,SP,Sudeste,BR,18050000,-23.52944393,-47.48997676,8,0
606650,Av Dr Afonso Vergueiro,2373,Sorocaba,SP,Sudeste,BR,18040000,-23.49948419,-47.47346569,4,0
1043917,Estrada do Dinorah,n,Sorocaba,SP,Sudeste,Br,00000000,-23.4472969,-47.5048539,6,0
1023208,Rua Floriano Peixoto,607,Ribeirao Preto,SP,Sudeste,BR,14010200,-21.183496,-47.804373,8,0
1031596,Avenida Jerome Case,2120,Sorocaba,SP,Sudeste,BR,18087370,-23.435229,-47.393242,10,0
1049590,Av Independencia,6218,Sorocaba,SP,Sudeste,BR,18103000,-23.41786684,-47.40805616,0,2
150401,Rua Tibirica,41,Ribeirao Preto,SP,Sudeste,BR,14010090,-21.173009,-47.806619,10,2
1025173,Av Dom Aguirre,3465,Sorocaba,SP,Sudeste,BR,18035380,-23.4934,-47.4463,NULL,NULL
1025121,Av Com Camilo Julio,1615,Sorocaba,SP,Sudeste,BR,18086000,-23.4550734,-47.4497715,NULL,NULL
1023884,Rua Hilario Azzolini,475,Ribeirao Preto,SP,Sudeste,BR,14096610,-21.194458,-47.776068,12,0
574686,Rua Prof.Toledo,848,Sorocaba,SP,Sudeste,BR,18035110,-23.49631758,-47.46592494,8,0
1036091,Avenida Casper Libero,483,Ribeirao Preto,SP,Sudeste,BR,14031180,-21.2025396,-47.8421702,12,0
1037842,Av Itavuvu,2420,Sorocaba,SP,Sudeste,BR,18076005,-23.463969,-47.478914,6,1
1030574,Rua Pedro Scandar,334,Ribeirao Preto,SP,Sudeste,BR,14093020,-21.189067,-47.756713,14,0
1023970,Av Com Pereira Inacio,120,Sorocaba,SP,Sudeste,BR,18021000,-23.5069231,-47.45599939,8,0
1023989,Av Maurilio Biagi,1224,Ribeirao Preto,SP,Sudeste,BR,14020750,-21.20428192,-47.79366372,12,2
1037065,R Henrique Dumont,1801,Ribeirao Preto,SP,Sudeste,BR,14090200,-21.1855794,-47.78729615,10,0
606278,Rua Paschoal Leite Paes,424,Sorocaba,SP,Sudeste,BR,18090500,-23.47940461,-47.44880152,8,0
257605,Rod Anhanguera,Sn Km 303,Ribeirao Preto,SP,Sudeste,BR,14097140,-21.24115144,-47.75731376,12,0
1016857,Avenida Dezenove De Junho,401,Ribeirao Preto,SP,Sudeste,BR,14075340,-21.14155327,-47.78330118,13,0
1025840,Av Dr Jose Cezario M S Filho,285,Ribeirao Preto,SP,Sudeste,BR,14026600,-21.21666268,-47.81948617,8,2
1060900,Avenida Independ̻ncia,3461,Sorocaba,SP,Sudeste,BR,18087101,-23.44536093,-47.41760091,12,0
1039887,Rua Jordao Favero,126,Ribeirao Preto,SP,Sudeste,BR,14095060,-21.195023,-47.773045,NULL,NULL
86924,Av D Pedro I,1910,Ribeirao Preto,SP,Sudeste,BR,14030549,-21.1489469,-47.82802877,NULL,NULL
1039905,Av Independencia,987,Ribeirao Preto,SP,Sudeste,BR,14020010,-21.187123,-47.806283,NULL,NULL
1024488,Via Anhanguera Km 305 ,Sn,Ribeirao Preto,SP,Sudeste,BR,14097140,-21.226052,-47.760205,NULL,NULL
606430,Rua Jorge Fazoline,515,Ribeirao Preto,SP,Sudeste,BR,14096650,-21.1957366,-47.7737029,NULL,NULL
243191,Av Presidente Vargas,80,Ribeirao Preto,SP,Sudeste,BR,14025700,-21.189336,-47.806798,NULL,NULL
152447,Rua Luiz Gama,80,Sorocaba,SP,Sudeste,BR,18060190,-23.49493363,-47.4621968,NULL,NULL
49107,Av Xv De Agosto,5014,Sorocaba,SP,Sudeste,BR,18085290,-23.494626,-47.4627,NULL,NULL
1030530,R Jose Martinez Peres ,842,Sorocaba,SP,Sudeste,BR,18078348,-23.433113,-47.4623495,NULL,NULL
1037843,Avenida Ipanem,Sn Terreno 1 2 E 3,Sorocaba,SP,Sudeste,BR,18071801,-23.45247639,-47.5115249,NULL,NULL
1031060,Rua Javari,4895,Ribeirao Preto,SP,Sudeste,BR,14061310,-21.124087,-47.808071,NULL,NULL
1023207,Rua Guatapara ,594,Ribeirao Preto,SP,Sudeste,BR,14030060,-21.1781518,-47.8207177,NULL,NULL
1024565,R Rua Doutor Joao Guiao,219,Ribeirao Preto,SP,Sudeste,BR,14030440,-21.1798944,-47.8235638,NULL,NULL
1025175,Av Washington Luiz,1297,Sorocaba,SP,Sudeste,BR,18040000,-23.5169943,-47.4677227,NULL,NULL
1039899,Rua Sao Paulo,400,Ribeirao Preto,SP,Sudeste,BR,14085010,-21.168602,-47.805611999999996,NULL,NULL
25550,Av Cavalheiro P.Inecchi,750,Ribeirao Preto,SP,Sudeste,BR,14076010,-21.162057,-47.788195,NULL,NULL
1014458,Av Itavuvu,1580,Sorocaba,SP,Sudeste,BR,18076069,-23.4710621,-47.4771648,NULL,NULL
1025327,R Sao Paulo,1688,Ribeirao Preto,SP,Sudeste,BR,14085010,-21.1595076,-47.7976844,NULL,NULL
1023898,Av. Caramuru ,1018,Ribeirao Preto,SP,Sudeste,BR,14030000,-21.18732,-47.820279,NULL,NULL
1030837,Av Mogiana,2583,Ribeirao Preto,SP,Sudeste,BR,14076410,-21.151741,-47.781115,NULL,NULL
